,xmin,ymin
1017,-667134,-965950
1018,-667134,-957758
1019,-667134,-949566
1020,-667134,-941374
1021,-658942,-1211710
1022,-658942,-1203518
1023,-658942,-1195326
1024,-658942,-1187134
1025,-658942,-1178942
1026,-658942,-1170750
1027,-658942,-1162558
1028,-658942,-1154366
1029,-658942,-1146174
1030,-658942,-1137982
1031,-658942,-1129790
1032,-658942,-1121598
1033,-658942,-1113406
1034,-658942,-1105214
1035,-658942,-1097022
1036,-658942,-1088830
1037,-658942,-1080638
1038,-658942,-1072446
1039,-658942,-1064254
1040,-658942,-1056062
1041,-658942,-1047870
1042,-658942,-1039678
1043,-658942,-1031486
1044,-658942,-1023294
1045,-658942,-1015102
1046,-658942,-1006910
1047,-658942,-998718
1048,-658942,-990526
1049,-658942,-982334
1050,-658942,-974142
1051,-658942,-965950
1052,-658942,-957758
1053,-658942,-949566
1054,-658942,-941374
1055,-650750,-1211710
1056,-650750,-1203518
1057,-650750,-1195326
1058,-650750,-1187134
1059,-650750,-1178942
1060,-650750,-1170750
1061,-650750,-1162558
1062,-650750,-1154366
1063,-650750,-1146174
1064,-650750,-1137982
1065,-650750,-1129790
1066,-650750,-1121598
1067,-650750,-1113406
1068,-650750,-1105214
1069,-650750,-1097022
1070,-650750,-1088830
1071,-650750,-1080638
1072,-650750,-1072446
1073,-650750,-1064254
1074,-650750,-1056062
1075,-650750,-1047870
1076,-650750,-1039678
1077,-650750,-1031486
1078,-650750,-1023294
1079,-650750,-1015102
1080,-650750,-1006910
1081,-650750,-998718
1082,-650750,-990526
1083,-650750,-982334
1084,-650750,-974142
1085,-650750,-965950
1086,-650750,-957758
1087,-650750,-949566
1088,-650750,-941374
1089,-642558,-1211710
1090,-642558,-1203518
1091,-642558,-1195326
1092,-642558,-1187134
1093,-642558,-1178942
1094,-642558,-1170750
1095,-642558,-1162558
1096,-642558,-1154366
1097,-642558,-1146174
1098,-642558,-1137982
1099,-642558,-1129790
1100,-642558,-1121598
1101,-642558,-1113406
1102,-642558,-1105214
1103,-642558,-1097022
1104,-642558,-1088830
1105,-642558,-1080638
1106,-642558,-1072446
1107,-642558,-1064254
1108,-642558,-1056062
1109,-642558,-1047870
1110,-642558,-1039678
1111,-642558,-1031486
1112,-642558,-1023294
1113,-642558,-1015102
1114,-642558,-1006910
1115,-642558,-998718
1116,-642558,-990526
1117,-642558,-982334
1118,-642558,-974142
1119,-642558,-965950
1120,-642558,-957758
1121,-642558,-949566
1122,-642558,-941374
1123,-634366,-1211710
1124,-634366,-1203518
1125,-634366,-1195326
1126,-634366,-1187134
1127,-634366,-1178942
1128,-634366,-1170750
1129,-634366,-1162558
1130,-634366,-1154366
1131,-634366,-1146174
1132,-634366,-1137982
1133,-634366,-1129790
1134,-634366,-1121598
1135,-634366,-1113406
1136,-634366,-1105214
1137,-634366,-1097022
1138,-634366,-1088830
1139,-634366,-1080638
1140,-634366,-1072446
1141,-634366,-1064254
1142,-634366,-1056062
1143,-634366,-1047870
1144,-634366,-1039678
1145,-634366,-1031486
1146,-634366,-1023294
1147,-634366,-1015102
1148,-634366,-1006910
1149,-634366,-998718
1150,-634366,-990526
1151,-634366,-982334
1152,-634366,-974142
1153,-634366,-965950
1154,-634366,-957758
1155,-634366,-949566
1156,-634366,-941374
1157,-626174,-1211710
1158,-626174,-1203518
1159,-626174,-1195326
1160,-626174,-1187134
1161,-626174,-1178942
1162,-626174,-1170750
1163,-626174,-1162558
1164,-626174,-1154366
1165,-626174,-1146174
1166,-626174,-1137982
1167,-626174,-1129790
1168,-626174,-1121598
1169,-626174,-1113406
1170,-626174,-1105214
1171,-626174,-1097022
1172,-626174,-1088830
1173,-626174,-1080638
1174,-626174,-1072446
1175,-626174,-1064254
1176,-626174,-1056062
1177,-626174,-1047870
1178,-626174,-1039678
1179,-626174,-1031486
1180,-626174,-1023294
1181,-626174,-1015102
1182,-626174,-1006910
1183,-626174,-998718
1184,-626174,-990526
1185,-626174,-982334
1186,-626174,-974142
1187,-626174,-965950
1188,-626174,-957758
1189,-626174,-949566
1190,-626174,-941374
1191,-617982,-1211710
1192,-617982,-1203518
1193,-617982,-1195326
1194,-617982,-1187134
1195,-617982,-1178942
1196,-617982,-1170750
1197,-617982,-1162558
1198,-617982,-1154366
1199,-617982,-1146174
1200,-617982,-1137982
1201,-617982,-1129790
1202,-617982,-1121598
1203,-617982,-1113406
1204,-617982,-1105214
1205,-617982,-1097022
1206,-617982,-1088830
1207,-617982,-1080638
1208,-617982,-1072446
1209,-617982,-1064254
1210,-617982,-1056062
1211,-617982,-1047870
1212,-617982,-1039678
1213,-617982,-1031486
1214,-617982,-1023294
1215,-617982,-1015102
1216,-617982,-1006910
1217,-617982,-998718
1218,-617982,-990526
1219,-617982,-982334
1220,-617982,-974142
1221,-617982,-965950
1222,-617982,-957758
1223,-617982,-949566
1224,-617982,-941374
1225,-609790,-1211710
1226,-609790,-1203518
1227,-609790,-1195326
1228,-609790,-1187134
1229,-609790,-1178942
1230,-609790,-1170750
1231,-609790,-1162558
1232,-609790,-1154366
1233,-609790,-1146174
1234,-609790,-1137982
1235,-609790,-1129790
1236,-609790,-1121598
1237,-609790,-1113406
1238,-609790,-1105214
1239,-609790,-1097022
1240,-609790,-1088830
1241,-609790,-1080638
1242,-609790,-1072446
1243,-609790,-1064254
1244,-609790,-1056062
1245,-609790,-1047870
1246,-609790,-1039678
1247,-609790,-1031486
1248,-609790,-1023294
1249,-609790,-1015102
1250,-609790,-1006910
1251,-609790,-998718
1252,-609790,-990526
1253,-609790,-982334
1254,-609790,-974142
1255,-609790,-965950
1256,-609790,-957758
1257,-609790,-949566
1258,-609790,-941374
1259,-601598,-1211710
1260,-601598,-1203518
1261,-601598,-1195326
1262,-601598,-1187134
1263,-601598,-1178942
1264,-601598,-1170750
1265,-601598,-1162558
1266,-601598,-1154366
1267,-601598,-1146174
1268,-601598,-1137982
1269,-601598,-1129790
1270,-601598,-1121598
1271,-601598,-1113406
